pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.21518380696066441,UCD-0001766,Healthy,Angiogenesis
0.15727039504346801,UCD-0001766,Healthy,Angiogenesis
0.169933168127754,UCD-0001766,Healthy,Angiogenesis
0.24484187005631855,UCD-0001766,Healthy,Angiogenesis
0.225106518131654,UCD-0001766,Healthy,Angiogenesis
0.14968336676484037,UCD-0001766,Healthy,Angiogenesis
0.17812063723469915,UCD-0001766,Healthy,Angiogenesis
0.09624679911471994,UCD-0001766,Healthy,Angiogenesis
0.09421942049242246,UCD-0001766,Healthy,Angiogenesis
0.04109783183524439,UCD-0001766,Healthy,Angiogenesis
0.04573617861320106,UCD-0001766,Healthy,Angiogenesis
0.28756328834708433,UCD-0001766,Healthy,Angiogenesis
0.2780383866667587,UCD-0001766,Healthy,Angiogenesis
0.20624573714745048,UCD-0001766,Healthy,Angiogenesis
0.22481849846500174,UCD-0001766,Healthy,Angiogenesis
0.293166581903133,UCD-0001766,Healthy,Angiogenesis
0.25691483230026513,UCD-0001766,Healthy,Angiogenesis
